ESDT,PC,VolOfEff,SVI
18/09/2022,4432.65918,312.05,110
17/09/2022,4430.513184,312.05,110
16/09/2022,4428.309082,232.31,130
15/09/2022,4426.13623,305.74,150
14/09/2022,4424.067871,297.61,150
13/09/2022,4422.018066,510.97,130
12/09/2022,4419.823242,586.95,130
11/09/2022,4417.504883,456.39,120
10/09/2022,4415.02002,512.94,130
09/09/2022,4412.74707,528.65,120
08/09/2022,4410.566895,441,140
07/09/2022,4408.412109,448.75,150
06/09/2022,4406.196777,215.94,120
05/09/2022,4404.182129,81.51,120
04/09/2022,4402.549805,0,100
03/09/2022,4401.317871,225.94,100
02/09/2022,4400.01709,0,120
01/09/2022,4398.396973,517.04,110
31/08/2022,4396.356934,517.46,120
30/08/2022,4394.355957,402.61,150
29/08/2022,4392.259766,315.54,200
28/08/2022,4390.349121,312.81,180
27/08/2022,4388.553223,312.81,180
26/08/2022,4386.812012,446.74,140
25/08/2022,4384.850098,455.64,100
24/08/2022,4382.859863,397.88,100
23/08/2022,4380.873047,390.67,150
22/08/2022,4378.974121,328.72,170
21/08/2022,4377.12207,332.94,180
20/08/2022,4375.36377,412.46,190
19/08/2022,4373.580078,385.29,150
18/08/2022,4371.696777,481.23,90
17/08/2022,4369.834961,369.96,100
16/08/2022,4367.807129,439.29,140
15/08/2022,4365.870117,457.94,140
14/08/2022,0,242.38,120
13/08/2022,4361.875977,314.95,120
12/08/2022,4360.125,331.41,120
11/08/2022,4358.438965,305.77,100
10/08/2022,4357.030762,312.5,100
09/08/2022,4355.38623,504.02,110
08/08/2022,4353.744141,579.73,100
07/08/2022,4351.754883,578.74,100
06/08/2022,4349.561035,168.09,130
05/08/2022,4347.442871,437.52,180
04/08/2022,4345.836914,573.72,100
03/08/2022,4343.916992,441.2,150
02/08/2022,4341.76123,576.54,140
01/08/2022,4339.844238,581.21,110
31/07/2022,4337.701172,432.36,120
30/07/2022,4335.571777,370.08,110
29/07/2022,4333.475098,370.08,110
28/07/2022,4331.49707,512.07,110
27/07/2022,4329.624023,456.43,110
26/07/2022,4328.288086,577.46,120
26/07/2022,4327.550781,577.46,120
25/07/2022,4325.536133,439.84,120
24/07/2022,4323.321777,442.27,120
23/07/2022,4321.328125,440.97,110
22/07/2022,4319.359863,443.05,120
21/07/2022,4317.366211,585.44,100
20/07/2022,0,582.59,100
19/07/2022,0,560.56,100
18/07/2022,0,448.6,140
17/07/2022,0,362.43,140
16/07/2022,0,362.98,100
15/07/2022,0,578.68,110
14/07/2022,0,570.1,100
13/07/2022,0,570.56,110
12/07/2022,0,371.83,100
11/07/2022,0,376.12,100
10/07/2022,0,501.92,100
09/07/2022,0,433.14,100
08/07/2022,0,439,100
07/07/2022,0,433.88,110
06/07/2022,0,368.73,100
05/07/2022,0,304.12,100
04/07/2022,0,441.37,120
03/07/2022,0,329.75,120
02/07/2022,0,434.49,100
01/07/2022,0,449.92,100
30/06/2022,0,455.89,100
29/06/2022,0,365.17,90
28/06/2022,0,371.14,90
27/06/2022,0,372.36,100
26/06/2022,0,365.78,100
25/06/2022,0,570.92,100
24/06/2022,0,430.65,100
23/06/2022,0,293.38,100
22/06/2022,0,440.43,100
21/06/2022,0,287.52,100
20/06/2022,4256.325195,432.24,100
19/06/2022,4254.62793,229.39,100
18/06/2022,4252.783203,480.39,100
17/06/2022,4251.328125,229.22,100
16/06/2022,4249.46582,7.89,100
15/06/2022,4247.874023,124.55,100
14/06/2022,4246.799805,308.53,100
13/06/2022,4245.585938,357.46,100
12/06/2022,4244.028809,292.67,120
11/06/2022,4242.338867,133.58,110
10/06/2022,4240.823242,181.06,120
09/06/2022,4239.449219,381.13,100
08/06/2022,4238.083984,297.08,100
07/06/2022,4237.042969,305.2,100
06/06/2022,4234.897949,296.33,90
05/06/2022,4233.307129,428.85,110
04/06/2022,4231.690918,234,110
03/06/2022,4229.773926,428.74,100
02/06/2022,0,309.8,90
01/06/2022,4226.130859,309.8,90
31/05/2022,4224.76123,432.81,90
30/05/2022,4222.461914,440.07,90
29/05/2022,4220.619141,465.22,90
28/05/2022,4218.662109,304.24,90
27/05/2022,4216.794922,412.9,100
26/05/2022,0,312.02,100
25/05/2022,4213.450195,367.58,140
24/05/2022,4212.5,349.32,90
23/05/2022,4210.390137,557.83,90
22/05/2022,4208.632813,381.1,90
21/05/2022,4206.551758,449.53,90
20/05/2022,4204.481934,487.73,80
19/05/2022,0,452.86,110
18/05/2022,4200.780762,338.83,120
17/05/2022,4198.797852,229.61,140
16/05/2022,0,576.09,140
15/05/2022,4196.63623,282.22,140
14/05/2022,4194.334961,320.29,125
13/05/2022,4192.437012,361.12,120
12/05/2022,4191.251953,160.64,120
11/05/2022,4188.524902,327.14,120
10/05/2022,4187.375,217.27,120
09/05/2022,4184.878906,247.66,110
08/05/2022,4183.103027,310.45,110
07/05/2022,4181.305176,223.94,110
06/05/2022,4179.445801,145.59,130
05/05/2022,4177.646973,304.1,130
04/05/2022,0,370.14,130
03/05/2022,4173.977051,92.89,100
02/05/2022,4172.065918,302.88,150
01/05/2022,4170.374023,298.4,150
30/04/2022,4168.504883,308.09,170
29/04/2022,4166.654785,217.56,120
28/04/2022,4164.766113,511.71,120
27/04/2022,4162.967773,253.07,120
26/04/2022,4160.823242,226.83,120
25/04/2022,4158.986816,385.66,170
24/04/2022,4157.191895,320.53,140
23/04/2022,4155.26416,386.6,150
22/04/2022,4153.353027,380.7,130
21/04/2022,4151.288086,161.34,120
20/04/2022,4149.34082,313.13,140
19/04/2022,4147.507813,312.13,180
18/04/2022,4145.650879,316.94,170
17/04/2022,4143.770996,315.27,170
16/04/2022,4141.883789,322.02,190
15/04/2022,4139.998047,374.51,150
14/04/2022,4138.078125,377.61,120
13/04/2022,4136.124023,249.23,110
12/04/2022,4134.117188,319.01,130
11/04/2022,4132.245117,434.03,180
10/04/2022,4130.270996,450.84,140
09/04/2022,4128.168945,384.53,150
08/04/2022,4126.009766,503.66,130
07/04/2022,4123.875,514.22,120
06/04/2022,4121.663086,310.71,100
05/04/2022,4119.397949,324.74,120
04/04/2022,4117.348145,316.59,140
03/04/2022,4115.437012,456.01,150
02/04/2022,4113.500977,435.72,150
01/04/2022,4111.381836,298.78,120
31/03/2022,4109.332031,249.67,110
30/03/2022,4107.423828,447.92,110
29/03/2022,4105.589844,191.33,110
28/03/2022,4103.559082,70.52,190
27/03/2022,4101.829102,443.66,190
26/03/2022,4100.383789,239.37,120
25/03/2022,4098.312988,456.62,100
24/03/2022,4096.375,309.65,100
23/03/2022,4094.324951,251.62,110
22/03/2022,4092.410889,228.44,110
21/03/2022,4090.571045,322.98,100
20/03/2022,4088.753906,382.35,110
19/03/2022,4086.810059,253.79,120
18/03/2022,4084.907959,253.79,110
17/03/2022,4082.913086,298.57,110
16/03/2022,4081.060059,267.18,100
15/03/2022,4079.087891,147.98,100
14/03/2022,4077.062988,372.43,120
13/03/2022,4075.462891,374.64,120
12/03/2022,4073.320068,221.79,120
11/03/2022,4071.204102,302.05,100
10/03/2022,4069.241943,371.18,100
09/03/2022,4067.230957,290.02,100
08/03/2022,4065.210938,230.46,100
07/03/2022,4063.251953,235.01,150
06/03/2022,4061.318115,301.01,150
05/03/2022,4059.410889,302.95,150
04/03/2022,4057.417969,323.65,150
03/03/2022,4055.434082,361.14,110
02/03/2022,4053.428955,434.09,110
01/03/2022,4051.302979,231.67,110
28/02/2022,4049.063965,297.45,90
27/02/2022,4047.091064,181.47,90
26/02/2022,4045.076904,326.26,100
25/02/2022,4043.156982,376.28,100
24/02/2022,4041.131104,361.86,100
23/02/2022,4039.024902,376.24,110
22/02/2022,4036.811035,236.72,100
21/02/2022,4034.724121,330.77,150
20/02/2022,4032.75,381.41,150
19/02/2022,4030.624023,300.88,110
18/02/2022,4028.52002,246.45,100
17/02/2022,4026.454102,303.8,110
16/02/2022,4024.498047,310.15,100
15/02/2022,4022.454102,321.43,90
14/02/2022,4020.736084,307,90
13/02/2022,4018.371094,186.18,100
12/02/2022,4016.302002,316.07,100
11/02/2022,4014.387939,307.98,100
10/02/2022,4012.270996,306.91,100
09/02/2022,4010.125977,311.3,100
08/02/2022,4007.952881,304.94,100
07/02/2022,4005.781006,380.81,110
06/02/2022,4004.095947,302.57,100
05/02/2022,4001.344971,295.13,100
04/02/2022,3999.144043,379.28,100
03/02/2022,3996.977051,307.98,110
02/02/2022,3994.717041,320.05,100
01/02/2022,3992.604004,322,90
31/01/2022,3990.471924,372.33,120
30/01/2022,3988.449951,320.96,120
29/01/2022,3986.295898,384.48,140
28/01/2022,3984.150879,381.91,100
27/01/2022,3981.955078,308.57,100
26/01/2022,3979.745117,315.4,110
25/01/2022,3977.616943,316.07,130
24/01/2022,3975.468994,394.7,130
23/01/2022,3973.331055,399.43,140
22/01/2022,3971.129883,356.44,140
21/01/2022,3969.029053,318.35,100
20/01/2022,3966.851074,395.94,100
19/01/2022,3965.031006,321.97,100
18/01/2022,3962.802979,384.51,150
17/01/2022,3960.674072,313.03,150
16/01/2022,3958.506104,373.13,240
15/01/2022,3956.342041,310.67,150
14/01/2022,3954.115967,409.78,110
13/01/2022,3951.935059,396.1,120
12/01/2022,3949.714111,335.03,110
11/01/2022,3947.495117,385.31,150
10/01/2022,3945.326904,338.94,200
09/01/2022,3943.110107,408.22,190
08/01/2022,3940.976074,397.02,190
07/01/2022,3938.790039,306.08,100
06/01/2022,3936.543945,306.08,100
05/01/2022,3934.311035,411.23,100
04/01/2022,3932.150879,377.24,100
03/01/2022,3929.912109,335.3,180
02/01/2022,3927.676025,385.44,190
01/01/2022,3925.531982,402.22,70
31/12/2021,3923.305908,322.88,100
30/12/2021,3921.072021,457.36,150
29/12/2021,3918.893066,454.48,125
28/12/2021,3916.610107,306.66,100
27/12/2021,3914.329102,388.9,190
26/12/2021,3912.148926,384.94,150
25/12/2021,3909.927979,463.54,120
24/12/2021,3907.699951,453.68,100
23/12/2021,3905.385986,449.19,100
22/12/2021,3903.073975,519.98,130
21/12/2021,3900.771973,594,130
20/12/2021,3898.408936,459.3,120
19/12/2021,3895.964111,359.99,100
18/12/2021,3893.675049,392.81,120
17/12/2021,3891.585938,414.45,120
16/12/2021,3889.516113,386.69,120
15/12/2021,3887.446045,380.52,130
14/12/2021,3885.300049,297.69,110
13/12/2021,3883.204102,382.95,120
12/12/2021,3881.13208,404.31,130
11/12/2021,3879.011963,305.41,150
10/12/2021,3876.875,441.68,125
09/12/2021,3874.778076,457.82,125
08/12/2021,3872.586914,384.23,130
07/12/2021,3870.365967,316.52,130
06/12/2021,3868.329102,459.63,140
05/12/2021,3866.39209,405.55,190
04/12/2021,3864.266113,392.27,150
03/12/2021,3862.22998,468.54,130
02/12/2021,3860.202881,398.48,130
01/12/2021,3858.110107,461.24,120
30/11/2021,3856.202881,466.62,120
29/11/2021,3854.204102,322.97,200
28/11/2021,3852.520996,328.51,200
27/11/2021,3851.156982,325.35,140
26/11/2021,3849.535889,355.89,100
25/11/2021,3848.179932,476.58,100
24/11/2021,3846.72998,464.81,110
23/11/2021,3844.596924,371.8,110
22/11/2021,3842.434082,476.61,150
21/11/2021,3840.261963,297.34,100
20/11/2021,3838.072021,468.91,150
19/11/2021,3835.978027,446.45,110
18/11/2021,3833.781982,370.67,110
17/11/2021,3831.51001,523.88,110
16/11/2021,3829.313965,300.8,100
15/11/2021,3826.976074,305.7,140
14/11/2021,3825.031982,399.88,190
13/11/2021,3822.929932,335.78,125
12/11/2021,3820.634033,387,110
11/11/2021,3818.665039,460.8,120
10/11/2021,3816.575928,544.78,120
09/11/2021,3814.381104,382.14,120
08/11/2021,3812.155029,399.55,100
07/11/2021,3809.993896,399.47,170
06/11/2021,3807.878906,471.32,160
05/11/2021,3805.699951,295.93,110
04/11/2021,3803.478027,464.53,140
03/11/2021,3801.434082,369.42,130
02/11/2021,3799.289063,313,120
01/11/2021,3797.294922,410.79,120
31/10/2021,3795.388916,455.17,130
30/10/2021,3793.419922,388.38,130
29/10/2021,3791.399902,454.53,120
28/10/2021,3789.414063,314.85,120
27/10/2021,3787.353027,447.69,130
26/10/2021,3785.404053,458.29,100
25/10/2021,3783.334961,392.6,120
24/10/2021,3781.245117,376.21,110
23/10/2021,3779.208008,379.87,100
22/10/2021,3777.25293,347.17,110
21/10/2021,3775.308105,400.34,110
20/10/2021,3773.39209,457.5,100
19/10/2021,3771.400879,388.55,100
18/10/2021,3769.324951,525.64,110
17/10/2021,3767.312988,522.06,150
16/10/2021,3765.156982,454.24,120
15/10/2021,3762.922119,533.86,125
14/10/2021,3760.856934,604.56,100
13/10/2021,3758.685059,316.38,110
12/10/2021,3756.431885,240.54,110
11/10/2021,3754.4729,460.67,110
10/10/2021,3752.537109,313.19,100
09/10/2021,3750.495117,459.19,100
08/10/2021,3748.666992,465.53,120
07/10/2021,3746.628906,588.95,120
06/10/2021,3744.503906,603.47,120
05/10/2021,3742.10498,475.67,110
04/10/2021,3739.789063,465.09,110
03/10/2021,3737.667969,599.91,100
02/10/2021,3735.581055,595.23,120
01/10/2021,3733.344971,457.72,100
30/09/2021,3731.070068,311.22,110
29/09/2021,3728.99707,593.28,100
28/09/2021,3727.054932,193.81,100
27/09/2021,3724.852051,455.89,120
26/09/2021,3723.439941,591.64,120
25/09/2021,3721.407959,425.43,110
24/09/2021,3719.186035,415.59,100
23/09/2021,3717.138916,557.56,100
22/09/2021,0,434.16,100
21/09/2021,0,519.97,90
20/09/2021,3710.822998,466.72,100
19/09/2021,3708.615967,597.13,90
18/09/2021,3706.550049,596.93,110
17/09/2021,3704.282959,459.54,120
16/09/2021,3702.365967,458.54,120
15/09/2021,3699.909912,456.39,110
14/09/2021,3697.829102,595.86,100
13/09/2021,3695.706055,601.21,100
12/09/2021,3693.435059,607.25,100
11/09/2021,3691.197998,257.36,100
10/09/2021,3688.919922,245.01,80
09/09/2021,3687.120117,461.98,80
08/09/2021,3685.183105,524.1,90
07/09/2021,3683.074951,468.73,90
06/09/2021,3681.009033,600.14,100
05/09/2021,3679.095947,329.38,100
04/09/2021,3676.884033,469.48,100
03/09/2021,3674.966064,372.07,70
02/09/2021,3672.974121,481.35,130
01/09/2021,3671.123047,599.01,100
31/08/2021,3669.084961,597.06,100
30/08/2021,3666.851074,586.87,120
29/08/2021,3664.584961,595.15,100
28/08/2021,3662.309082,591.35,90
27/08/2021,3660.041016,539.27,100
26/08/2021,3657.763916,528.04,110
25/08/2021,3655.583008,461.15,100
24/08/2021,3653.406006,584.52,100
23/08/2021,3651.340088,514.46,110
22/08/2021,3649.083008,348,100
21/08/2021,3647.02002,525.45,100
20/08/2021,3645.207031,423.73,90
19/08/2021,3643.211914,454.11,100
18/08/2021,3641.208984,359.81,100
17/08/2021,3639.405029,442.27,100
16/08/2021,3637.458008,577.42,100
15/08/2021,3635.343994,444.24,95
14/08/2021,3633.188965,447.63,98
13/08/2021,0,307.26,100
12/08/2021,3629.861084,600.12,100
11/08/2021,3628.145996,309.39,120
10/08/2021,3626.003906,387.94,120
09/08/2021,3624.125,382.32,90
08/08/2021,3622.235107,468.03,100
07/08/2021,3620.385986,332.8,100
06/08/2021,3618.436035,457.64,90
05/08/2021,3616.569092,383.27,80
04/08/2021,3614.592041,589.23,100
03/08/2021,3612.648926,596.73,100
02/08/2021,3610.537109,532.26,100
01/08/2021,3608.366943,379.52,100
31/07/2021,3606.2771,592.77,100
30/07/2021,3604.465088,524.1,110
29/07/2021,3600.072998,535.97,100
28/07/2021,3597.998047,446.64,100
27/07/2021,3595.905029,599.16,120
26/07/2021,3595.905029,600.99,130
25/07/2021,3593.646973,598.37,110
24/07/2021,3591.476074,600.4,90
23/07/2021,3589.295898,598.67,100
22/07/2021,3587.115967,558,90
21/07/2021,3584.937988,580,110
20/07/2021,3582.766113,573,110
19/07/2021,3580.573975,452,110
18/07/2021,3578.375,361,60
17/07/2021,3576.295898,481,60
16/07/2021,3574.35791,226,95
15/07/2021,3572.332031,117,90
14/07/2021,0,315,90
13/07/2021,3570.229004,72.51,90
12/07/2021,0,448.74,80
11/07/2021,3567.635986,443.71,80
10/07/2021,3565.679932,462.03,130
09/07/2021,3563.699951,466.2,80
08/07/2021,3561.725098,455.81,80
07/07/2021,3559.721924,542.03,80
06/07/2021,3557.694092,600.45,95
05/07/2021,3555.693115,462.16,100
04/07/2021,3553.50708,462.86,86
03/07/2021,3551.496094,483.03,100
02/07/2021,3549.541016,307.37,180
01/07/2021,3547.550049,572,180
30/06/2021,3545.710938,422,180
29/06/2021,3543.583984,423,94
28/06/2021,3541.599121,357.51,100
27/06/2021,3539.594971,226.92,110
26/06/2021,3537.876953,349.92,110
25/06/2021,3536.262939,380.5,110
24/06/2021,3534.501953,404.94,120
23/06/2021,3532.720947,0,120
22/06/2021,3530.762939,0,100
21/06/2021,3528.645996,0,100
20/06/2021,3526.443115,0,100
19/06/2021,3524.513916,0,100
18/06/2021,3522.780029,0,100
17/06/2021,3521.14502,0,100
16/06/2021,3519.39502,3,100
15/06/2021,3517.829102,258,100
14/06/2021,3516.438965,472.18,100
13/06/2021,3515.0271,599.85,100
12/06/2021,3512.970947,620,100
11/06/2021,3510.729004,0,80
10/06/2021,3508.447998,0,80
09/06/2021,3506.196045,0,80
08/06/2021,3503.934082,0,90
07/06/2021,3502.358887,0,90
06/06/2021,3500.541992,535.07,100
05/06/2021,3500.314941,521.21,90
04/06/2021,3498.258057,394.57,70
03/06/2021,3496.175049,396,70
02/06/2021,3494.191895,435,70
01/06/2021,3492.324951,289,70
31/05/2021,3490.345947,272.5,100
30/05/2021,3488.538086,272.5,100
29/05/2021,3486.785889,316.24,60
28/05/2021,3485.011963,383.96,80
27/05/2021,3483.208984,298.94,90
26/05/2021,3481.37793,379.76,80
25/05/2021,3479.528076,297.4,85
24/05/2021,3477.636963,394.46,85
23/05/2021,3475.868896,386.29,85
22/05/2021,3473.954102,305.26,85
21/05/2021,0,214.6,85
20/05/2021,3470.282959,302.85,70
19/05/2021,3468.600098,156.16,85
18/05/2021,3466.802002,19.1,85
17/05/2021,3465.509033,246.31,85
16/05/2021,3464.656982,240.49,85
15/05/2021,3463.197021,325.4,85
14/05/2021,3461.344971,602.67,80
13/05/2021,3459.420898,155.98,70
12/05/2021,3457.11499,526.86,90
11/05/2021,3455.612061,547.92,90
10/05/2021,3453.626953,600.75,85
09/05/2021,3451.5271,593.42,90
08/05/2021,3449.340088,472.61,70
07/05/2021,3447.124023,602.3,70
06/05/2021,3445.025879,607.45,70
05/05/2021,3442.795898,613.45,80
04/05/2021,3440.660889,595.82,80
03/05/2021,3438.452881,610.1,80
02/05/2021,3436.246094,600.55,65
01/05/2021,3434.045898,596.6,64
30/04/2021,3431.845947,608.43,90
29/04/2021,3429.646973,595.04,70
28/04/2021,3427.455078,599.39,70
27/04/2021,3425.26001,521.58,74
26/04/2021,3423.062012,606.96,100
25/04/2021,3420.87793,600.28,80
24/04/2021,3418.691895,592.17,72
23/04/2021,3416.488037,600.95,80
22/04/2021,3414.271973,591.9,70
21/04/2021,3412.048096,599.1,70
20/04/2021,3409.823975,592.98,70
19/04/2021,3407.606934,600.95,70
18/04/2021,3405.406006,339.67,70
17/04/2021,3403.206055,434.91,70
16/04/2021,3401.281982,606.83,70
15/04/2021,3399.537109,596.51,60
14/04/2021,3397.322998,595.21,60
13/04/2021,3395.115967,598.25,70
12/04/2021,3392.764893,592.26,70
11/04/2021,3390.269043,588.92,70
10/04/2021,3388.396973,592.76,70
09/04/2021,3386.062988,593.24,60
08/04/2021,3383.86792,599.97,60
07/04/2021,3381.61499,588.67,60
06/04/2021,3379.406982,598.73,70
05/04/2021,3377.300049,599.49,70
04/04/2021,3375.085938,598.72,70
03/04/2021,3372.879883,601.32,70
02/04/2021,3370.659912,608.04,60
01/04/2021,3368.440918,596.64,60
31/03/2021,3366.237061,591.02,60
30/03/2021,3364.023926,595.32,50
29/03/2021,3361.821045,602.61,50
28/03/2021,3359.603027,598.48,50
27/03/2021,3357.386963,593.71,50
26/03/2021,3355.179932,604.04,50
25/03/2021,3352.461914,601.65,50
24/03/2021,3350.733887,593.86,50
23/03/2021,3348.043945,594.96,50
21/03/2021,3345.524902,596.5,60
21/03/2021,3343.936035,544.13,60
20/03/2021,3341.731934,604.79,50
19/03/2021,3339.712891,604.57,50
18/03/2021,3337.480957,592.35,60
17/03/2021,3335.240967,606.87,60
16/03/2021,3333.006104,608.2,60
15/03/2021,3330.761963,605.51,60
14/03/2021,3327.98999,591.62,60
12/03/2021,3325.556885,608.05,65
12/03/2021,3323.726074,598.57,80
11/03/2021,3321.418945,532.19,80
10/03/2021,3319.061035,594.98,80
09/03/2021,3317.395996,602.77,80
08/03/2021,3315.278076,596.6,65
07/03/2021,3313.064941,596.76,65
06/03/2021,3310.87793,591.61,65
05/03/2021,3308.658936,590.4,70
04/03/2021,3306.441895,601.64,55
03/03/2021,3304.229004,580.93,60
02/03/2021,3302.00293,587.14,60
01/03/2021,3299.75,596.09,60
28/02/2021,3297.509033,601.29,55
27/02/2021,3295.278076,543.08,55
26/02/2021,3293.043945,590.64,65
25/02/2021,3290.889893,368.36,65
24/02/2021,3288.751953,586.61,65
23/02/2021,3287.125977,597.72,65
22/02/2021,3285.00708,599.45,65
21/02/2021,3282.7771,590.43,70
20/02/2021,3280.562012,561.13,65
19/02/2021,3278.350098,592.88,60
18/02/2021,3276.049072,588.8,60
17/02/2021,3273.822021,597.14,60
16/02/2021,3271.590088,591.97,60
15/02/2021,3269.352051,601.64,60
14/02/2021,3267.123047,602.63,65
13/02/2021,3264.910889,600.68,65
12/02/2021,3262.679932,590.09,65
11/02/2021,3260.444092,596.14,65
10/02/2021,3258.212891,606.24,65
09/02/2021,3255.988037,589.7,65
08/02/2021,3253.771973,595.2,65
07/02/2021,3251.563965,598.08,65
06/02/2021,3249.363037,594.95,70
05/02/2021,3247.1521,596.55,60
04/02/2021,3244.936035,604.97,55
03/02/2021,3242.721924,606.17,55
02/02/2021,3240.510986,593.91,55
01/02/2021,3238.081055,631.4,70
31/01/2021,3235.543945,602.68,65
30/01/2021,3233.047119,593.6,65
29/01/2021,3230.554932,583.96,76
28/01/2021,3227.99292,601.34,74
27/01/2021,3225.483887,592.26,72
26/01/2021,3222.9729,598.68,70
25/01/2021,3220.475098,588.31,65
24/01/2021,3217.971924,600.1,80
23/01/2021,3215.477051,603.75,60
22/01/2021,3212.985107,601.9,70
21/01/2021,3210.48291,596.38,70
20/01/2021,3207.969971,605.73,70
19/01/2021,3205.428955,592.47,55
18/01/2021,3202.924072,592.34,65
17/01/2021,3200.416016,591.21,80
16/01/2021,3197.922119,592.18,80
15/01/2021,3195.407959,586.55,78
14/01/2021,3192.88501,600.51,70
13/01/2021,3190.371094,597.32,70
12/01/2021,3187.860107,597.34,60
11/01/2021,3185.346924,605.92,70
10/01/2021,3182.843018,604.19,70
09/01/2021,3180.36499,596.76,65
08/01/2021,3177.870117,601.73,65
07/01/2021,3175.368896,598.86,65
06/01/2021,3172.851074,589.47,60
05/01/2021,3170.344971,600.23,60
04/01/2021,3167.837891,590.4,60
03/01/2021,3165.315918,606.31,60
02/01/2021,3162.832031,599.6,80
01/01/2021,3160.323975,606.84,80
31/12/2020,3157.851074,595.65,80
30/12/2020,3155.344971,643.4,62
29/12/2020,3152.834961,596.04,60
28/12/2020,3150.340088,590.12,80
27/12/2020,3147.862061,606.97,80
26/12/2020,3145.378906,613.95,80
25/12/2020,3142.89502,602.63,80
24/12/2020,3140.403076,591.44,60
23/12/2020,3137.910889,599.19,65
22/12/2020,3135.404053,602.81,60
21/12/2020,3132.914063,588.03,65
20/12/2020,3130.427002,588.22,62
19/12/2020,3127.936035,608.01,62
18/12/2020,3125.445068,594.44,68
17/12/2020,3122.954102,602.75,53
16/12/2020,3120.455078,603.21,60
15/12/2020,3117.950928,587.82,65
14/12/2020,3115.449951,596.94,60
13/12/2020,3112.952881,603.06,60
12/12/2020,3110.465088,593.82,60
11/12/2020,3107.961914,600.68,60
10/12/2020,3105.460938,610.45,55
09/12/2020,3102.967041,610.45,50
08/12/2020,3100.462891,612.1,70
07/12/2020,3097.946045,601.1,45
06/12/2020,3095.449951,590.36,60
05/12/2020,3092.965088,603.36,60
04/12/2020,3090.456055,598.02,60
03/12/2020,3087.957031,610.88,60
02/12/2020,3085.461914,602.32,60
01/12/2020,3082.970947,593.71,60
30/11/2020,3080.495117,597.42,68
29/11/2020,3077.993896,590.12,60
28/11/2020,3075.519043,605.2,60
27/11/2020,3073.025879,598.77,64
26/11/2020,3070.532959,429.53,50
25/11/2020,3068.052979,593.44,56
24/11/2020,3065.824951,0,56
23/11/2020,3063.337891,0,60
22/11/2020,3060.854004,0,60
21/11/2020,3058.381104,0,56
20/11/2020,3055.907959,0,55
19/11/2020,3053.60791,0,52
18/11/2020,3051.312988,0,52
17/11/2020,3048.794922,0,50
16/11/2020,3047.050049,0,50
15/11/2020,3045.639893,0,50
14/11/2020,3043.331055,0,55
13/11/2020,3040.818115,0,55
12/11/2020,0,0,55
11/11/2020,3036.165039,0,55
10/11/2020,3033.668945,0,55
09/11/2020,3031.169922,0,55
08/11/2020,3028.675049,0,60
07/11/2020,3026.196045,0,60
06/11/2020,3023.688965,0,60
05/11/2020,3021.187988,0,60
04/11/2020,3018.691895,0,50
03/11/2020,3016.193115,0,50
02/11/2020,3013.690918,0,50
01/11/2020,3011.207031,0,50
31/10/2020,3008.729004,0,45
30/10/2020,3006.250977,0,45
29/10/2020,3003.76001,0,63
28/10/2020,3001.399902,0,50
27/10/2020,2999.288086,0,50
26/10/2020,2996.788086,0,50
25/10/2020,2994.282959,0,50
24/10/2020,2991.790039,0,50
23/10/2020,2989.295898,0,65
22/10/2020,2986.791016,0,50
21/10/2020,2984.288086,0,45
20/10/2020,2981.73999,0,45
19/10/2020,2979.231934,0,40
18/10/2020,2976.726074,0,40
17/10/2020,2974.220947,0,50
16/10/2020,2971.715088,0,50
15/10/2020,2969.521973,0,50
14/10/2020,2967.306885,0,50
13/10/2020,2965.282959,0,50
12/10/2020,2963.409912,0,50
11/10/2020,2961.206055,0,60
10/10/2020,2958.690918,0,40
09/10/2020,2956.158936,0,28
08/10/2020,2953.625977,0,50
07/10/2020,2951.091064,0,50
06/10/2020,2948.556885,0,50
05/10/2020,2946.031006,0,40
04/10/2020,2943.512939,0,40
03/10/2020,2941.01001,0,40
02/10/2020,2938.487061,0,58
01/10/2020,2935.980957,0,58
30/09/2020,2933.48999,0,50
29/09/2020,2930.979004,0,45
28/09/2020,2928.474121,0,35
27/09/2020,2925.978027,0,35
26/09/2020,2923.590088,0,50
25/09/2020,2921.094971,0,50
24/09/2020,2918.596924,0,48
23/09/2020,2916.100098,0,48
22/09/2020,2913.586914,0,45
21/09/2020,2911.01001,0,50
20/09/2020,2908.575928,0,40
19/09/2020,2906.034912,0,47
18/09/2020,2903.523926,0,47
17/09/2020,2901.032959,0,50
16/09/2020,2898.541992,0,50
15/09/2020,2896.039063,0,50
14/09/2020,2893.538086,0,60
13/09/2020,2891.028076,0,50
12/09/2020,2888.528076,0,50
11/09/2020,2886.018066,0,50
10/09/2020,2883.504883,0,58
09/09/2020,2880.983887,0,60
08/09/2020,2878.462891,0,50
07/09/2020,2875.947021,0,50
06/09/2020,2873.447998,0,50
05/09/2020,2871.066895,0,50
04/09/2020,2868.540039,0,50
03/09/2020,2866.00293,0,50
02/09/2020,2863.49707,0,40
01/09/2020,2861.001953,0,48
31/08/2020,2858.509033,0,60
30/08/2020,2856.00708,0,60
29/08/2020,2853.52002,0,40
28/08/2020,2851.037109,0,40
27/08/2020,2849.039063,0,50
26/08/2020,2846.691895,0,55
25/08/2020,2844.166016,0,55
24/08/2020,2841.674072,0,55
23/08/2020,2839.185059,0,50
22/08/2020,2836.694092,0,50
